역사명,위도,경도
길음,37.603407,127.025053
김량장,37.237247,127.198781
김유정,37.818466,127.71434
김포공항,37.5620404,126.8022632
까치산,37.531768,126.846683
까치울,37.5061685,126.8109345
낙성대,37.47693,126.963693
남구로,37.486056,126.887249
남동구청,37.448161,126.736939
남동인더스파크,37.407722,126.695216
남부터미널,37.485013,127.016189
남성,37.484596,126.971251
남영,37.541021,126.9713
남위례,37.4624,127.13977
남춘천,37.864007,127.723792
남태령,37.463873,126.989134
남한산성입구,37.451535,127.159816
내방,37.487618,126.993513
노들,37.512887,126.953222
노량진,37.5138415,126.9418575
노원,37.655553,127.061869
녹번,37.600927,126.935756
녹사평,37.534675,126.986695
녹양,37.75938,127.042292
녹천,37.644799,127.051269
논현,37.511093,127.021415
능곡,37.618808,126.820783
다산,37.62429,127.14973
단대오거리,37.44521,127.156866
달미,37.348847,126.809409
달월,37.379681,126.745177
답십리,37.566747,127.052704
당곡,37.4902998,126.9275133
당산,37.534176,126.902788
당정,37.344285,126.948345
대곡,37.631767999999994,126.81107700000001
대공원,37.435675,127.006523
대림,37.493128,126.8960035
대모산입구,37.491373,127.07272
대방,37.51332395,126.92605424999999
대성리,37.684071,127.379319
대야미,37.328467,126.917332
대청,37.493514,127.079532
대치,37.494612,127.063642
대화,37.676087,126.747569
대흥,37.547771,126.942069
덕계,37.818486,127.056486
덕소,37.586781,127.208832
덕정,37.843188,127.061277
도곡,37.491073,127.055319
도농,37.608806,127.161153
도림천,37.514287,126.882768
도봉,37.679563,127.045595
도봉산,37.6893875,127.046279
도심,37.579622,127.222672
도원,37.468446,126.642706
도화,37.46607,126.668672
독립문,37.574571,126.957748
독바위,37.618456,126.933031
독산,37.466613,126.889249
독정,37.585212,126.675844
돌곶이,37.610537,127.056431
동구릉,37.61105,127.13793
동대문,37.5713085,127.0101085
동대문역사문화공원,37.565137,127.00743066666668
동대입구,37.559052,127.005602
동두천,37.927878,127.05479
동두천중앙,37.901885,127.056482
동막,37.397878,126.674005
동묘앞,37.572738,127.0160665
동백,37.269043,127.152716
동수,37.485312,126.718247
동암,37.471408,126.702896
동오,37.745271,127.056947
동인천,37.475276,126.632802
동작,37.502865,126.97925000000001
동천,37.337928,127.102976
동춘,37.404737,126.681015
동탄,37.20034,127.09569
두정,36.833705,127.14896
둔전,37.267051,127.21364
둔촌동,37.527788,127.136248
둔촌오륜,37.519683,127.137989
등촌,37.550632,126.865689
디지털미디어시티,37.577003999999995,126.90022649999999
뚝섬,37.547184,127.047367
마곡,37.560183,126.825448
마곡나루,37.566160499999995,126.827344
마두,37.652206,126.77762
마들,37.66494,127.057675
마산,37.640732,126.644344
마석,37.652782,127.311767
마장,37.5661,127.042973
마전,37.597566,126.666998
마천,37.49499,127.152781
마포,37.539574,126.945932
마포구청,37.563515,126.903343
만수,37.454911,126.732094
망우,37.59955,127.091909
망원,37.556094,126.910052
망월사,37.709914,127.047455
망포,37.245795,127.057353
매교,37.265481,127.015678
매봉,37.486947,127.046769
매탄권선,37.252759,127.040566
먹골,37.610637,127.077725
면목,37.588579,127.087503
명동,37.560989,126.986325
명일,37.55137,127.143999
명지대,37.237964,127.190294
명학,37.384653,126.935433
모란,37.432938,127.1294705
모래내시장,37.45583,126.719298
목동,37.526065,126.864931
몽촌토성,37.517409,127.112359
무악재,37.582299,126.950291
문래,37.517933,126.89476
문산,37.854619,126.788047
문정,37.485855,127.1225
문학경기장,37.434935,126.698579
미금,37.3500295,127.108914
미사,37.560927,127.193877
미아,37.62667,127.025983
미아사거리,37.613292,127.030053
박촌,37.553703,126.745077
반월,37.312212,126.903524
반포,37.508178,127.011727
발곡,37.727048,127.052803
발산,37.558598,126.837668
방배,37.481426,126.997596
방이,37.508857,127.126133
방학,37.667503,127.044273
방화,37.577446,126.812741
배방,36.777629,127.052991
백마,37.658239,126.794461
백석,37.643114,126.78787
백양리,37.830779,127.58933
백운,37.483664,126.707704
버티고개,37.548013,127.007055
범계,37.389793,126.950806
범골,37.728755,127.04353
별내,37.64217,127.12722
별내별가람,37.66778,127.11581
병점,37.207503,127.032731
보라매,37.50007295,126.92043175
보라매공원,37.4955691,126.9180827
보라매병원,37.4929598,126.9234964
보문,37.58528,127.01936599999999
보산,37.913702,127.057277
보정,37.312752,127.108196
보평,37.258965,127.218457
복정,37.4706985,127.12669500000001
봉명,36.801215,127.135763
봉은사,37.514219,127.060245
봉천,37.482362,126.941892
봉화산,37.617283,127.091401
부개,37.488418,126.74109
부발,37.260192,127.490277
부천,37.48405,126.782686
부천시청,37.5045355,126.763589
부천종합운동장,37.50528566666667,126.79707866666666
부평,37.489990000000006,126.72397950000001
부평구청,37.50809366666667,126.72097466666666
부평삼거리,37.477679,126.710208
부평시장,37.498383,126.722244
북한산보국문,37.612072,127.008251
북한산우이,37.662909,127.012706
불광,37.610713000000004,126.92960500000001
사가정,37.580894,127.088478
사당,37.4767465,126.98159749999999
사릉,37.65108,127.176933
사리,37.28998,126.85685
사우,37.620249,126.719731
사평,37.504206,127.015259
산곡,37.5086,126.7035277
산본,37.358101,126.933274
산성,37.457122,127.149908
삼가,37.242115,127.168075
삼각지,37.5348045,126.973316
삼동,37.409522,127.20336
삼산체육관,37.506825500000005,126.7419715
삼성,37.508857000000006,127.0632
삼성중앙,37.513011,127.053282
삼송,37.653083,126.895558
삼양,37.626914,127.018106
삼양사거리,37.621337,127.020473
삼전,37.504738,127.088025
상갈,37.26181,127.108847
상계,37.660878,127.073572
상도,37.502834,126.94791
상동,37.5057975,126.753123
상록수,37.302795,126.866489
상봉,37.5961275,127.085378
상수,37.547716,126.922852
상왕십리,37.564354,127.029354
상월곡,37.606377,127.048491
상일동,37.556712,127.166417
상천,37.770246,127.454821
상현,37.297664,127.069342
새말,37.748885,127.06362
새절,37.591148,126.913629
샛강,37.51718545,126.9289105
서강대,37.551881,126.935711
서구청,37.543742,126.676787
서대문,37.565773,126.966641
서동탄,37.195504,127.051672
서부여성회관,37.500168,126.675795
서빙고,37.519594,126.988537
서울,37.55569,126.97296
서울대벤처타운,37.4720019,126.9339351
서울대입구,37.481247,126.952739
서울숲,37.543617,127.044707
서울역,37.555180666666665,126.97127566666666
서울지방병무청,37.5060464,126.9227083
서원,37.4782341,126.9330365
서정리,37.056496,127.052819
서초,37.491897,127.007917
서현,37.385126,127.123592
석계,37.614701999999994,127.0657645
석남,37.50621075,126.67624215000001
석바위시장,37.457611,126.692575
석수,37.435047,126.902295
석천사거리,37.456805,126.709986
석촌,37.5053825,127.10693599999999
석촌고분,37.502558,127.097033
선릉,37.504571,127.048505
선바위,37.451673,127.002303
선부,37.334353,126.809904
선유도,37.53802,126.893525
선정릉,37.510515999999996,127.043838
선학,37.426684,126.698863
성균관대,37.300349,126.97075
성남,37.394675,127.120015
성복,37.313335,127.0801
성수,37.544581,127.055961
성신여대입구,37.5925395,127.0164785
성환,36.916076,127.126964
세류,37.245025,127.013222
세마,37.187533,127.04318
세종대왕릉,37.295309,127.570938
센트럴파크,37.393054,126.634729
소래포구,37.40095,126.733522
소사,37.483016000000006,126.7952315
소새울,37.468467,126.797252
소요산,37.9481,127.061034
솔밭공원,37.65603,127.013273
솔샘,37.620238,127.013626
송내,37.4876,126.753664
송도,37.428514,126.657772
송도달빛축제공원,37.407143,126.62597
송산,37.737279,127.087159
송정,37.561184,126.811973
송탄,37.075696,127.054301
송파,37.499703,127.112183
송파나루,37.510372,127.112216
수내,37.378455,127.114322
수락산,37.67785,127.055315
수리산,37.349801,126.925365
수색,37.580842,126.895611
수서,37.48707333333333,127.10164633333332
수원,37.2661325,126.9994915
수원시청,37.261911,127.030736
수유,37.638052,127.025732
수지구청,37.322702,127.095026
수진,37.437428,127.140722
숙대입구,37.54456,126.972106
숭실대입구,37.496029,126.953822
숭의,37.460789,126.638297
시민공원,37.458335,126.681192
시청,37.5646515,126.9762495
시청.용인대,37.239151,127.178406
시흥능곡,37.369864,126.808573
시흥대야,37.450145,126.793041
시흥시청,37.382223,126.805625
신갈,37.286102,127.111313
신금호,37.554548,127.020331
신길,37.5172425,126.916352
신길온천,37.338212,126.765844
신내,37.6130305,127.1027245
신논현,37.504598,127.02506
신답,37.57004,127.046481
신당,37.565897,127.01788
신대방,37.487462,126.913149
신대방삼거리,37.499701,126.928276
신도림,37.508874,126.891114
신둔도예촌,37.317185,127.40476
신림,37.484563800000004,126.92966545
신목동,37.544277,126.88308
신반포,37.503415,126.995925
신방화,37.567532,126.816601
신사,37.516334,127.020114
신설동,37.575630000000004,127.02426933333335
신연수,37.41804,126.693863
신용산,37.52917,126.967894
신원,37.525545,127.372921
신이문,37.601854,127.067325
신정,37.524997,126.856191
신정네거리,37.520074,126.852912
신중동,37.502933999999996,126.77581
신창,36.769502,126.951108
신천,37.439066,126.786788
신촌,37.557432000000006,126.9397615
신포,37.46874,126.623853
신풍,37.50008,126.90993
신현,37.409008,126.788017
신흥,37.440918,127.147564
쌍문,37.648627,127.034709
쌍용,36.793759,127.1214
아산,36.792053,127.104361
아시아드경기장,37.5517,126.677122
아신,37.51382,127.443173
아차산,37.551691,127.089761
아현,37.557345,126.956141
안국,37.576477,126.985443
안산,37.327082,126.788532
안암,37.586272,127.029005
안양,37.401592,126.922874
암사,37.55021,127.127562
암사역사공원,37.55695,127.13702
압구정,37.527072,127.028461
압구정로데오,37.527381,127.040534
애오개,37.553736,126.95682
야당,37.712327,126.761356
야목,37.264179,126.879483
야탑,37.411185,127.128715
약수,37.554565,127.0104495
양수,37.545981,127.329098
양원,37.606596,127.107906
양재,37.484143,127.0342775
양재시민의숲,37.470023,127.03842
양정,37.60533,127.19364
양주,37.774381,127.044708
양천구청,37.512398,126.865819
양천향교,37.568381,126.841333
양촌,37.642379,126.614309
양평,37.509170999999995,127.18898300000001
어룡,37.742802,127.085035
어린이대공원,37.548014,127.074658
어정,37.274917,127.143714
어천,37.250102,126.90879
언주,37.507287,127.033868
여의나루,37.527098,126.932901
여의도,37.5217535,126.9241935
여주,37.282308,127.628816
역곡,37.485178,126.811502
역삼,37.500622,127.036456
역촌,37.606021,126.922744
연수,37.417804,126.67894
연신내,37.61888166666667,126.92098766666666
연천,38.10073,127.07372
염창,37.546936,126.874916
영등포,37.515504,126.907628
영등포구청,37.524953,126.89582
영등포시장,37.522669,126.905139
영종,37.51202,126.524254
영통,37.251568,127.071394
예술회관,37.449396,126.701012
오금,37.502093,127.1281285
오남,37.705,127.19281
오류동,37.494526,126.845365
오리,37.339824,127.108942
오목교,37.524496,126.875181
오목천,37.24304,126.963676
오빈,37.506062,127.473868
오산,37.145885,127.06672
오산대,37.168953,127.063197
오이도,37.362357,126.738714
옥수,37.541065,127.01797049999999
온수,37.492262499999995,126.8235545
온양온천,36.780483,127.003249
올림픽공원,37.516235,127.1306055
완정,37.592928,126.673203
왕길,37.59518,126.642696
왕십리,37.561635,127.03745500000001
외대앞,37.596073,127.063549
용답,37.561904,127.050899
용두,37.574028,127.038091
용마산,37.573647,127.086727
용문,37.48223,127.594647
용산,37.529849,126.964561
우장산,37.548768,126.836318
운길산,37.554669,127.310115
운서,37.492904,126.49379
운양,37.653867,126.68393
운연,37.440127,126.75997
운정,37.720983000000004,126.7478335
운천,37.879942,126.769999
원당,37.653324,126.843041
원덕,37.468672,127.547076
원시,37.302371,126.786691
원인재,37.412690999999995,126.68725850000001
원종,37.5239,126.8049
원흥,37.650658,126.872642
월계,37.633212,127.058831
월곡,37.601948,127.041518
월곶,37.391769,126.742699
월드컵경기장,37.569532,126.899298
월롱,37.796188,126.792587
을지로3가,37.566489,126.992122
을지로4가,37.5669735,126.9979245
을지로입구,37.566014,126.982618
응봉,37.549946,127.034538
응암,37.598605,126.915577
의왕,37.320852,126.948217
의정부,37.738415,127.045958
의정부시청,37.739256,127.034781
의정부중앙,37.743676,127.049565
이대,37.556733,126.946013
이매,37.395013,127.1280335
이수,37.485196,126.981605
이천,37.265579,127.44226
이촌,37.522361000000004,126.9740695
이태원,37.534488,126.994302
인덕원,37.401553,126.976715
인천,37.476241,126.6170635
인천가좌,37.4897,126.675208
인천공항1터미널,37.447464,126.452508
인천공항2터미널,37.460699,126.441442
인천논현,37.400614,126.722478
인천대공원,37.448769,126.752618
인천대입구,37.386007,126.639484
인천시청,37.457048,126.70172450000001
인천터미널,37.442383,126.699706
인하대,37.448493,126.649619
일산,37.682077,126.769846
일원,37.483681,127.08439
임진강,37.888421,126.746765
임학,37.545059,126.738665
작전,37.530415,126.722527
잠실,37.513977,127.1022485
잠실나루,37.520733,127.10379
잠실새내,37.511687,127.086162
잠원,37.512759,127.01122
장기,37.643986,126.669017
장승배기,37.504898,126.93915
장암,37.700109,127.053196
장자호수공원,37.58738,127.13794
장지,37.478703,127.126191
장한평,37.56144,127.064623
전곡,38.02458,127.0718
전대.에버랜드,37.285342,127.219561
정릉,37.603133,127.013396
정발산,37.659477,126.773359
정부과천청사,37.426513,126.98978
정왕,37.351735,126.742989
정자,37.366546,127.1082365
제기동,37.578103,127.034893
제물포,37.466769,126.656666
종각,37.570161,126.982923
종로3가,37.571517,126.99131433333335
종로5가,37.570926,127.001849
종합운동장,37.511224,127.0749895
주안,37.4650195,126.67942
주안국가산단,37.473703,126.68113
주엽,37.670072,126.761334
죽전,37.324753,127.107395
중계,37.644583,127.064303
중곡,37.565923,127.08432
중동,37.486562,126.764843
중랑,37.594917,127.076116
중앙,37.315941,126.838573
중앙보훈병원,37.529191,127.148739
중화,37.602545,127.079264
증미,37.557402,126.861939
증산,37.583876,126.909645
지석,37.269606,127.136515
지식정보단지,37.378384,126.645168
지축,37.648025000000004,126.9139435
지평,37.476393,127.629874
지행,37.892334,127.055716
직산,36.870593,127.143904
진위,37.109447,127.062278
진접,37.7205,127.2034
창동,37.6530475,127.04754
창신,37.579661,127.015241
천마산,37.658978,127.285379
천안,36.810005,127.146826
천왕,37.486637,126.838713
천호,37.5383765,127.12328099999999
철산,37.47605,126.867911
청계산입구,37.447211,127.055664
청구,37.560442,127.0138125
청담,37.519365,127.05335
청라국제도시,37.556409,126.624648
청량리,37.580357500000005,127.0464425
청명,37.259489,127.078934
청평,37.735488,127.42661
초당,37.260752,127.159443
초월,37.374419,127.299
초지,37.32013250000001,126.80703
총신대입구,37.486263,126.981989
춘의,37.503656500000005,126.787658
춘천,37.885054,127.717023
충무로,37.5613185,126.994076
충정로,37.55997000000001,126.963639
캠퍼스타운,37.387855,126.661673
킨텍스,37.66532,126.74843
탄현,37.694023,126.761086
탑석,37.733579,127.088704
탕정,36.78866,127.08485
태릉입구,37.617816,127.07506599999999
태평,37.440019,127.127709
테크노파크,37.382268,126.656365
퇴계원,37.648311,127.143952
파주,37.815298,126.792783
판교,37.394761,127.111717
팔당,37.547371,127.243939
평내호평,37.653225,127.244493
평촌,37.394287,126.963883
평택,36.990726,127.085159
풍무,37.612488,126.732387
풍산,37.672346,126.786243
하계,37.636352,127.06799
하남검단산,37.53972,127.22345
하남시청,37.54205,127.20612
하남풍산,37.552034,127.203864
학동,37.514229,127.031656
학여울,37.496663,127.070594
한강진,37.539631,127.001725
한남,37.52943,127.009169
한대앞,37.309689,126.85344
한성대입구,37.588458,127.006221
한성백제,37.516404,127.116503
한양대,37.555273,127.043655
한티,37.496237,127.052873
합정,37.549333,126.913587
행당,37.557322,127.029476
행신,37.612102,126.834146
혜화,37.582336,127.001844
호구포,37.401637,126.708627
홍대입구,37.557377499999994,126.92594725
홍제,37.589066,126.943736
화계,37.634133,127.017511
화곡,37.541513,126.840461
화랑대,37.620064,127.084689
화서,37.283862,126.989627
화정,37.634592,126.83265
회기,37.58946,127.05758299999998
회룡,37.724711,127.04721649999999
회현,37.558514,126.978246
효자,37.754025,127.076902
효창공원앞,37.538906,126.96179699999999
흑석,37.50877,126.963708
흥선,37.743302,127.037023
